Channel,SOCIAL_BLADE_RANK,VIDEO_VIEWS_RANK,COUNTRY_RANK ,MUSIC_RANK ,ESTIMATED_MONTHLY_EARNINGS ,ESTIMATED_YEARLY_EARNINGS ,SUBSCRIBERS_FOR_THE_LAST_30_DAYS ,VIDEO_VIEWS_FOR_THE_LAST_30_DAYS 
T-Series,6th,1st,1st,1st,$585K  -  $9.4M,$7M  -  $112.3M,2M 33.3%,2.34B 33.9%
Cocomelon - Nursery Rhymes,8th,2nd,1st,1st,$383.1K  -  $6.1M,$4.6M  -  $73.5M,1M 0.0%,1.532B 10.1%
SET India,7th,3rd,2nd,1st,$593K  -  $9.5M,$7.1M  -  $113.9M,2M 33.3%,2.372B 5.1%
WWE,27th,5th,4th,1st,$178.3K  -  $2.9M,$2.1M  -  $34.2M,700K 46.2%,713.04M 28.6%
Like Nastya,28th,7th,5th,2nd,$149.5K  -  $2.4M,$1.8M  -  $28.7M,500K 16.7%,597.852M 18.5%
✿ Kids Diana Show,22nd,6th,3rd,2nd,$286.2K  -  $4.6M,$3.4M  -  $54.9M,1M 16.7%,1.145B 1.6%
Sony SAB,9th,4th,6th,6th,$511.9K  -  $8.2M,$6.1M  -  $98.3M,1.5M 0.0%,2.048B 7.3%
Movieclips,50th,8th,10th,4th,$124.8K  -  $2M,$1.5M  -  $24M,400K 0.0%,499.046M 0.7%
Vlad and Niki,14th,9th,7th,3rd,$225.1K  -  $3.6M,$2.7M  -  $43.2M,900K 18.2%,900.21M 5.9%
Ryan's World,142nd,10th,33rd,28th,$91.6K  -  $1.5M,$1.1M  -  $17.6M,200K 0.0%,366.424M 174.2%
netd müzik,82nd,11th,1st,85th,$88.4K  -  $1.4M,$1.1M  -  $17M,100K 66.7%,353.532M 45.4%
ABS-CBN Entertainment,13th,13th,1st,17th,$0  -  $0,$0  -  $0,400K 0.0%,-3.044B 765.3%
El Reino Infantil,85th,12th,1st,18th,$135.8K  -  $2.2M,$1.6M  -  $26.1M,600K 0.0%,543.224M 75.8%
Zee Music Company,20th,14th,3rd,3rd,$172.8K  -  $2.8M,$2.1M  -  $33.2M,900K 0.0%,691.088M 3.8%
Colors TV,16th,15th,13th,7th,$347.7K  -  $5.6M,$4.2M  -  $66.8M,1.2M 7.7%,1.391B 13.2%
Canal KondZilla,508th,16th,1st,6th,$34K  -  $544.4K,$408.3K  -  $6.5M,100K 50%,136.11M 7.2%
Little Baby Bum - Nursery Rhymes & Kids Songs,251st,18th,23rd,5th,$72.9K  -  $1.2M,$874.7K  -  $14M,300K 200.0%,291.567M 28.4%
ChuChu TV Nursery Rhymes & Kids Songs,69th,17th,8th,3rd,$122.9K  -  $2M,$1.5M  -  $23.6M,700K 0.0%,491.521M 9.2%
Wave Music,139th,19th,9th,14th,$116.6K  -  $1.9M,$1.4M  -  $22.4M,600K 0.0%,466.396M 8.1%
WorkpointOfficial,171st,21st,1st,21st,$73.1K  -  $1.2M,$877.2K  -  $14M,200K 33.3%,292.41M 3.7%
Toys and Colors,57th,20th,29th,23rd,$165.4K  -  $2.6M,$2M  -  $31.8M,200K 0.0%,661.599M 4.3%
Маша и Медведь,136th,23rd,2nd,6th,$66.7K  -  $1.1M,$800.7K  -  $12.8M,200K 33.3%,266.887M 8.6%
Super Simple Songs - Kids Songs,89th,22nd,2nd,7th,$184.4K  -  $3M,$2.2M  -  $35.4M,600K 20.0%,737.586M 10.4%
PewDiePie,637th,24th,2nd,1st,$23.9K  -  $381.9K,$286.4K  -  $4.6M,--,95.463M 9.2%
Get Movies,644th,25th,1st,18th,$29.9K  -  $478.8K,$359.1K  -  $5.7M,100K 0.0%,119.709M 12.5%
Shemaroo Filmi Gaane,127th,28th,7th,9th,$0  -  $0,$0  -  $0,700K 12.5%,-989.802M 344.3%
Pinkfong! Kids' Songs & Stories,"35,051,756th","5,589,431st",--,"660,588th",$3  -  $53,$40  -  $634,34 33.3%,13.209K 436.1%
one31,150th,32nd,2nd,26th,$100.3K  -  $1.6M,$1.2M  -  $19.3M,300K 0.0%,401.141M 173.6%
LooLoo Kids - Nursery Rhymes and Children's Songs,72nd,29th,15th,17th,$126.6K  -  $2M,$1.5M  -  $24.3M,600K 20.0%,506.218M 71.1%
JustinBieberVEVO,332nd,33rd,30th,38th,$42.5K  -  $680.3K,$510.2K  -  $8.2M,--,170.083M 18.8%
YRF,187th,31st,15th,23rd,$97.1K  -  $1.6M,$1.2M  -  $18.6M,400K 33.3%,388.284M 6.7%
GMANetwork,178th,34th,2nd,44th,$84.1K  -  $1.3M,$1M  -  $16.1M,300K 0.0%,336.37M 15.4%
قناة طيور الجنة | toyoraljanahtv,188th,35th,1st,55th,$74.4K  -  $1.2M,$893.3K  -  $14.3M,300K 25%,297.768M 1.9%
TheEllenShow,"1,269th",42nd,22nd,16th,$17K  -  $271.3K,$203.5K  -  $3.3M,--,67.834M 119.5%
SMTOWN,135th,39th,4th,46th,$91.9K  -  $1.5M,$1.1M  -  $17.6M,300K 50.0%,367.444M 19.6%
KatyPerryVEVO,816th,43rd,60th,62nd,$28.1K  -  $449.1K,$336.8K  -  $5.4M,--,112.274M 1.1%
TaylorSwiftVEVO,720th,44th,50th,53rd,$35.7K  -  $570.4K,$427.8K  -  $6.8M,-100K 0.0%,142.604M 6.6%
Ch3Thailand,102nd,41st,3rd,32nd,$0  -  $0,$0  -  $0,300K 50.0%,-23.169M 106.2%
Tips Official,83rd,37th,12th,16th,$130.1K  -  $2.1M,$1.6M  -  $25M,900K 0.0%,520.363M 16.9%
Speed Records,268th,40th,17th,26th,$84.9K  -  $1.4M,$1M  -  $16.3M,400K 42.9%,339.409M 11.2%
5-Minute Crafts,876th,47th,6th,1st,$67.3K  -  $1.1M,$807.8K  -  $12.9M,400K 0.0%,269.277M 3.1%
GMM GRAMMY OFFICIAL,824th,51st,4th,87th,$39.9K  -  $637.9K,$478.4K  -  $7.7M,100K 0.0%,159.476M 8%
1theK (원더케이),230th,52nd,5th,53rd,$51.7K  -  $826.8K,$620.1K  -  $9.9M,100K 50%,206.703M 8.3%
FGTeeV,394th,54th,104th,20th,$46.8K  -  $748.1K,$561.1K  -  $9M,200K 100.0%,187.019M 11.3%
GR6 EXPLODE,3rd,46th,6th,28th,$113.3K  -  $1.8M,$1.4M  -  $21.8M,300K 0.0%,453.292M 19.3%
shakiraVEVO,873rd,55th,117th,101st,$30.9K  -  $493.9K,$370.4K  -  $5.9M,--,123.479M 7.8%
Galinha Pintadinha,300th,56th,9th,6th,$52.2K  -  $834.7K,$626.1K  -  $10M,300K 50.0%,208.687M 3.4%
BabyBus - Nursery Rhymes,122nd,50th,45th,11th,$105.1K  -  $1.7M,$1.3M  -  $20.2M,500K 25.0%,420.304M 4.9%
Sony Music India,280th,48th,11th,15th,$126.9K  -  $2M,$1.5M  -  $24.4M,1M 16.7%,507.529M 20.3%
SonyMusicIndiaVEVO,197th,58th,21st,25th,$116.1K  -  $1.9M,$1.4M  -  $22.3M,600K 14.3%,464.569M 0.4%
Sesame Street,279th,62nd,72nd,58th,$51.8K  -  $828.9K,$621.7K  -  $9.9M,100K 66.7%,207.225M 13.7%
Ozuna,206th,66th,2nd,35th,$53.5K  -  $856.2K,$642.2K  -  $10.3M,100K 50%,214.062M 2.7%
Spinnin' Records,690th,70th,1st,45th,$33.5K  -  $535.8K,$401.8K  -  $6.4M,100K 0.0%,133.948M 4.9%
BLACKPINK,119th,57th,1st,4th,$184.5K  -  $3M,$2.2M  -  $35.4M,1.6M 38.5%,738.117M 2.0%
DisneyMusicVEVO,200th,65th,51st,56th,$109.7K  -  $1.8M,$1.3M  -  $21.1M,300K 0.0%,438.774M 31.2%
WORLDSTARHIPHOP,842nd,73rd,54th,58th,$25.3K  -  $404.6K,$303.5K  -  $4.9M,100K 0.0%,101.156M 0.3%
La Granja de Zenón,128th,63rd,2nd,47th,$97.7K  -  $1.6M,$1.2M  -  $18.8M,300K 25%,390.673M 1.4%
Daddy Yankee,316th,78th,26th,32nd,$0  -  $0,$0  -  $0,200K 0.0%,-258.901M 226.4%
Disney,"7,392nd","1,394th",866th,869th,$5.5K  -  $87.6K,$65.7K  -  $1.1M,20K 0.0%,21.906M 1.7%
HYBE LABELS,101st,61st,2nd,7th,$115K  -  $1.8M,$1.4M  -  $22.1M,800K 11.1%,460.107M 16.6%
BuzzFeedVideo,"5,368th",87th,93rd,9th,$7K  -  $112.2K,$84.1K  -  $1.3M,--,28.048M 17.8%
Badabun,"3,106th",82nd,1st,8th,$52.6K  -  $841.6K,$631.2K  -  $10.1M,200K 0.0%,210.393M 79.8%
Maroon5VEVO,703rd,83rd,177th,139th,$31.4K  -  $502.6K,$377K  -  $6M,--,125.66M 3.8%
Shemaroo,125th,80th,19th,22nd,$0  -  $0,$0  -  $0,600K 20.0%,-383.159M 234.1%
jbalvinVEVO,833rd,77th,8th,160th,$59K  -  $944.4K,$708.3K  -  $11.3M,--,236.111M 24.8%
ArianaGrandeVevo,540th,88th,124th,108th,$34.3K  -  $549.4K,$412.1K  -  $6.6M,--,137.353M 6.7%
Little Angel: Nursery Rhymes & Kids Songs,94th,71st,53rd,43rd,$103.4K  -  $1.7M,$1.2M  -  $19.8M,500K 25.0%,413.458M 9.4%
RihannaVEVO,"1,103rd",94th,56th,59th,$23.6K  -  $377.5K,$283.1K  -  $4.5M,-100K 0.0%,94.368M 5.7%
EminemVEVO,767th,91st,59th,61st,$38.9K  -  $622.5K,$466.9K  -  $7.5M,--,155.62M 10.8%
CVS 3D Rhymes & Kids Songs,715th,92nd,32nd,10th,$33.1K  -  $530.2K,$397.7K  -  $6.4M,200K 0.0%,132.562M 0.8%
Eros Now Music,580th,93rd,28th,34th,$39.4K  -  $629.9K,$472.4K  -  $7.6M,200K 33.3%,157.473M 10.6%
LUCCAS NETO - LUCCAS TOON,153rd,90th,5th,19th,$62.1K  -  $993.6K,$745.2K  -  $11.9M,100K 66.7%,248.398M 16.7%
MalumaVEVO,"1,200th",98th,194th,148th,$31.5K  -  $504.2K,$378.2K  -  $6.1M,--,126.056M 4.1%
CookieSwirlC,133rd,86th,146th,116th,$84.6K  -  $1.4M,$1M  -  $16.2M,200K 0.0%,338.2M 14.9%
Markiplier,568th,99th,36th,5th,$35.8K  -  $572.7K,$429.5K  -  $6.9M,200K 100.0%,143.182M 7.2%
T-Series Apna Punjab,233rd,96th,26th,44th,$52.4K  -  $837.8K,$628.4K  -  $10.1M,300K 0.0%,209.453M 15.5%
Bad Bunny,154th,89th,1st,29th,$97.8K  -  $1.6M,$1.2M  -  $18.8M,400K 0.0%,391.157M 2.4%
Peppa Pig - Official Channel,"71,429th",95th,55th,8th,$90.7K  -  $1.5M,$1.1M  -  $17.4M,500K 66.7%,362.959M 25.7%
Inside Edition,198th,101st,371st,30th,$42.8K  -  $684.3K,$513.2K  -  $8.2M,60K 14.3%,171.079M 21.4%
GRAMMY GOLD OFFICIAL,290th,104th,6th,123rd,$47.4K  -  $758.4K,$568.8K  -  $9.1M,100K 0.0%,189.592M 4.2%
LEGO,"43,632,890th",107th,213th,35th,$50K  -  $799.9K,$599.9K  -  $9.6M,100K 50%,199.963M 34.3%
Aaj Tak,412th,110th,10th,1st,$62.5K  -  $1M,$750.2K  -  $12M,300K 0.0%,250.051M 7.7%
FunToys Collector Disney Toys Review,"29,128th",121st,272nd,251st,$1K  -  $16.5K,$12.3K  -  $197.6K,--,4.116M 7.9%
Ultra Music,"9,260th",116th,43rd,50th,$26.7K  -  $427.9K,$320.9K  -  $5.1M,100K 50%,106.976M 17.8%
Aditya Music,105th,100th,54th,89th,$130.7K  -  $2.1M,$1.6M  -  $25.1M,400K 0.0%,522.839M 18.0%
Bruno Mars,220th,112th,27th,36th,$43.8K  -  $701.1K,$525.9K  -  $8.4M,200K 0.0%,175.284M 12.4%
