Pos,Channel,Views,Subscriber,Vidoes,Published
1,T-Series,"157,452,055,214","185,000,000"," 15,528",2006-03-13
2,Cocomelon - Nursery Rhymes,"103,803,532,922","113,000,000",    654,2006-09-01
3,SET India," 90,768,285,232","107,000,000"," 59,421",2006-09-20
4,WWE," 59,710,652,499"," 78,500,000"," 55,466",2007-05-11
5,Like Nastya," 58,866,363,302"," 74,700,000",    589,2016-12-06
6,✿ Kids Diana Show," 58,484,744,322"," 80,100,000",    891,2015-05-12
7,Sony SAB," 56,242,961,978"," 52,600,000"," 37,259",2007-08-04
8,Movieclips," 52,243,427,733"," 52,900,000"," 37,366",2006-04-28
9,Vlad and Niki," 50,178,997,905"," 69,000,000",    366,2018-04-23
10,Ryan's World," 47,553,197,237"," 29,900,000","  2,002",2015-03-17
11,netd müzik," 43,898,081,035"," 20,200,000"," 16,081",2014-01-23
12,ABS-CBN Entertainment," 42,861,663,362"," 34,800,000","159,246",2008-07-16
13,El Reino Infantil," 41,029,383,920"," 43,100,000","  1,020",2011-06-02
14,Zee Music Company," 38,448,325,269"," 74,100,000","  5,494",2014-03-12
15,Colors TV," 35,203,395,540"," 41,000,000"," 57,273",2008-06-13
16,Canal KondZilla," 34,809,659,110"," 64,400,000","  1,901",2012-03-21
17,Little Baby Bum - Nursery Rhymes & Kids Songs," 33,192,984,019"," 36,500,000","  1,467",2011-06-22
18,ChuChu TV Nursery Rhymes & Kids Songs," 32,200,568,260"," 49,200,000",    415,2013-02-09
19,Wave Music," 31,549,948,982"," 45,300,000"," 18,319",2014-10-29
20,WorkpointOfficial," 30,690,257,602"," 33,800,000"," 55,949",2012-11-05
21,Toys and Colors," 30,002,662,818"," 31,800,000",    611,2016-03-17
22,Маша и Медведь," 28,834,638,339"," 34,600,000",    970,2011-05-31
23,Super Simple Songs - Kids Songs," 28,611,715,993"," 29,200,000",    552,2006-09-08
24,PewDiePie," 27,449,303,842","110,000,000","  4,356",2010-04-29
25,Get Movies," 25,979,526,805"," 35,700,000","  2,986",2006-12-16
26,Shemaroo Filmi Gaane," 25,351,195,387"," 52,800,000","  7,203",2010-06-11
27,Pinkfong! Kids' Songs & Stories," 24,601,545,507"," 49,700,000","  1,857",2011-12-14
28,one31," 24,153,182,909"," 30,100,000","109,452",2013-01-10
29,LooLoo Kids - Nursery Rhymes and Children's Songs," 23,393,308,381"," 43,700,000",    503,2014-08-05
30,JustinBieberVEVO," 23,175,398,382"," 32,100,000",    185,2009-09-26
31,YRF," 22,999,109,537"," 40,300,000","  2,825",2006-06-07
32,GMANetwork," 22,507,781,473"," 23,800,000"," 97,653",2006-11-20
33,قناة طيور الجنة | toyoraljanahtv," 22,168,549,789"," 24,400,000","  2,951",2008-11-24
34,TheEllenShow," 21,783,989,513"," 37,900,000"," 13,170",2006-11-21
35,SMTOWN," 21,275,517,404"," 28,000,000","  3,703",2006-03-18
36,KatyPerryVEVO," 21,194,896,801"," 25,100,000",    164,2009-12-13
