Pos,Channel,Views,Subscriber,Vidoes,Published,SOCIAL_BLADE_RANK,VIDEO_VIEWS_RANK,COUNTRY_RANK ,MUSIC_RANK ,ESTIMATED_MONTHLY_EARNINGS ,ESTIMATED_YEARLY_EARNINGS ,SUBSCRIBERS_FOR_THE_LAST_30_DAYS ,VIDEO_VIEWS_FOR_THE_LAST_30_DAYS 
1,T-Series,"157,452,055,214","185,000,000"," 15,528",2006-03-13,6th,1st,1st,1st,$585K  -  $9.4M,$7M  -  $112.3M,2M 33.3%,2.34B 33.9%
2,Cocomelon - Nursery Rhymes,"103,803,532,922","113,000,000",    654,2006-09-01,8th,2nd,1st,1st,$383.1K  -  $6.1M,$4.6M  -  $73.5M,1M 0.0%,1.532B 10.1%
3,SET India," 90,768,285,232","107,000,000"," 59,421",2006-09-20,7th,3rd,2nd,1st,$593K  -  $9.5M,$7.1M  -  $113.9M,2M 33.3%,2.372B 5.1%
4,WWE," 59,710,652,499"," 78,500,000"," 55,466",2007-05-11,27th,5th,4th,1st,$178.3K  -  $2.9M,$2.1M  -  $34.2M,700K 46.2%,713.04M 28.6%
5,Like Nastya," 58,866,363,302"," 74,700,000",    589,2016-12-06,28th,7th,5th,2nd,$149.5K  -  $2.4M,$1.8M  -  $28.7M,500K 16.7%,597.852M 18.5%
6,✿ Kids Diana Show," 58,484,744,322"," 80,100,000",    891,2015-05-12,22nd,6th,3rd,2nd,$286.2K  -  $4.6M,$3.4M  -  $54.9M,1M 16.7%,1.145B 1.6%
7,Sony SAB," 56,242,961,978"," 52,600,000"," 37,259",2007-08-04,9th,4th,6th,6th,$511.9K  -  $8.2M,$6.1M  -  $98.3M,1.5M 0.0%,2.048B 7.3%
8,Movieclips," 52,243,427,733"," 52,900,000"," 37,366",2006-04-28,50th,8th,10th,4th,$124.8K  -  $2M,$1.5M  -  $24M,400K 0.0%,499.046M 0.7%
9,Vlad and Niki," 50,178,997,905"," 69,000,000",    366,2018-04-23,14th,9th,7th,3rd,$225.1K  -  $3.6M,$2.7M  -  $43.2M,900K 18.2%,900.21M 5.9%
10,Ryan's World," 47,553,197,237"," 29,900,000","  2,002",2015-03-17,142nd,10th,33rd,28th,$91.6K  -  $1.5M,$1.1M  -  $17.6M,200K 0.0%,366.424M 174.2%
11,netd müzik," 43,898,081,035"," 20,200,000"," 16,081",2014-01-23,82nd,11th,1st,85th,$88.4K  -  $1.4M,$1.1M  -  $17M,100K 66.7%,353.532M 45.4%
12,ABS-CBN Entertainment," 42,861,663,362"," 34,800,000","159,246",2008-07-16,13th,13th,1st,17th,$0  -  $0,$0  -  $0,400K 0.0%,-3.044B 765.3%
13,El Reino Infantil," 41,029,383,920"," 43,100,000","  1,020",2011-06-02,85th,12th,1st,18th,$135.8K  -  $2.2M,$1.6M  -  $26.1M,600K 0.0%,543.224M 75.8%
14,Zee Music Company," 38,448,325,269"," 74,100,000","  5,494",2014-03-12,20th,14th,3rd,3rd,$172.8K  -  $2.8M,$2.1M  -  $33.2M,900K 0.0%,691.088M 3.8%
15,Colors TV," 35,203,395,540"," 41,000,000"," 57,273",2008-06-13,16th,15th,13th,7th,$347.7K  -  $5.6M,$4.2M  -  $66.8M,1.2M 7.7%,1.391B 13.2%
16,Canal KondZilla," 34,809,659,110"," 64,400,000","  1,901",2012-03-21,508th,16th,1st,6th,$34K  -  $544.4K,$408.3K  -  $6.5M,100K 50%,136.11M 7.2%
17,Little Baby Bum - Nursery Rhymes & Kids Songs," 33,192,984,019"," 36,500,000","  1,467",2011-06-22,251st,18th,23rd,5th,$72.9K  -  $1.2M,$874.7K  -  $14M,300K 200.0%,291.567M 28.4%
18,ChuChu TV Nursery Rhymes & Kids Songs," 32,200,568,260"," 49,200,000",    415,2013-02-09,69th,17th,8th,3rd,$122.9K  -  $2M,$1.5M  -  $23.6M,700K 0.0%,491.521M 9.2%
19,Wave Music," 31,549,948,982"," 45,300,000"," 18,319",2014-10-29,139th,19th,9th,14th,$116.6K  -  $1.9M,$1.4M  -  $22.4M,600K 0.0%,466.396M 8.1%
20,WorkpointOfficial," 30,690,257,602"," 33,800,000"," 55,949",2012-11-05,171st,21st,1st,21st,$73.1K  -  $1.2M,$877.2K  -  $14M,200K 33.3%,292.41M 3.7%
21,Toys and Colors," 30,002,662,818"," 31,800,000",    611,2016-03-17,57th,20th,29th,23rd,$165.4K  -  $2.6M,$2M  -  $31.8M,200K 0.0%,661.599M 4.3%
22,Маша и Медведь," 28,834,638,339"," 34,600,000",    970,2011-05-31,136th,23rd,2nd,6th,$66.7K  -  $1.1M,$800.7K  -  $12.8M,200K 33.3%,266.887M 8.6%
23,Super Simple Songs - Kids Songs," 28,611,715,993"," 29,200,000",    552,2006-09-08,89th,22nd,2nd,7th,$184.4K  -  $3M,$2.2M  -  $35.4M,600K 20.0%,737.586M 10.4%
24,PewDiePie," 27,449,303,842","110,000,000","  4,356",2010-04-29,637th,24th,2nd,1st,$23.9K  -  $381.9K,$286.4K  -  $4.6M,--,95.463M 9.2%
25,Get Movies," 25,979,526,805"," 35,700,000","  2,986",2006-12-16,644th,25th,1st,18th,$29.9K  -  $478.8K,$359.1K  -  $5.7M,100K 0.0%,119.709M 12.5%
26,Shemaroo Filmi Gaane," 25,351,195,387"," 52,800,000","  7,203",2010-06-11,127th,28th,7th,9th,$0  -  $0,$0  -  $0,700K 12.5%,-989.802M 344.3%
27,Pinkfong! Kids' Songs & Stories," 24,601,545,507"," 49,700,000","  1,857",2011-12-14,"35,051,756th","5,589,431st",--,"660,588th",$3  -  $53,$40  -  $634,34 33.3%,13.209K 436.1%
28,one31," 24,153,182,909"," 30,100,000","109,452",2013-01-10,150th,32nd,2nd,26th,$100.3K  -  $1.6M,$1.2M  -  $19.3M,300K 0.0%,401.141M 173.6%
